ID	BA_LONG_NAME	BA_TYPE	AREA_ID	AREA_TYPE	FIELD_NAME	WELL_NAME	UWI	TITLE	CREATOR_NAME	CREATE_DATE	MEDIA_TYPE	DOCUMENT_TYPE	ITEM_CATEGORY	ITEM_SUB_CATEGORY	PAGE_COUNT	REMARK	DATA_STORE_NAME	DATA_STORE_TYPE	SOURCE	QC_STATUS	CHECKED_BY_BA_ID
1356	Example Co.	UNIT PELAKSANA	204	WILAYAH KERJA	Cepu	BN-3	-	Drilling and Completion Practices in Oil and Gas Wells	PT Fake	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN TEKNIK	PRODUKSI	FASILITAS PRODUKSI	69.00000	-	-	BOX	-	TERVERIFIKASI	5687
1357	PT Example	BADAN USAHA	2457	WILAYAH KERJA	Tuban	BN-4	-	Well Testing and Analysis	PT Fake	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	PRODUKSI	UJI PRODUKSI	68.00000	-	-	ENVELOPE	-	TERVERIFIKASI	1228
1358	PT Oil	UNIVERSITAS	455	WILAYAH KERJA	Attaka	BN-2	-	Production Optimization Strategies	PT Gas	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	ASPEK KEGEOLOGIAN	ANALISA GEOKIMIA	34.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	9299
1359	Example Co.	BADAN USAHA	1454	WILAYAH KERJA	Jambi-Merang	BN-4	-	Production Optimization Strategies	Example Co.	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	PERSIAPAN PEMBORAN	KONTRAK JASA & PERALATAN PENUNJANG	39.00000	-	-	SHELF	-	TERVERIFIKASI	1920
1360	PT Fake	UNIVERSITAS	484	WILAYAH KERJA	Rokan	BN-2	-	Drilling and Completion Practices in Oil and Gas Wells	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	LAPORAN AKHIR	DATA & RIWAYAT SUMUR	86.00000	-	-	SHELF	-	TERVERIFIKASI	7330
1361	PT Example	UNIVERSITAS	1058	WILAYAH KERJA	Jambi-Merang	BN-4	-	Reservoir Characterization and Modeling	PT Oil	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN TEKNIK	EKSPLORASI & AKUISISI	TIME TO DEPTH RELATION REPORT/VSP	60.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	7085
1362	PT Oil	BADAN USAHA	522	WILAYAH KERJA	Minas	BN-8	-	Enhanced Oil Recovery (EOR) Techniques	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	PRODUKSI	FASILITAS PRODUKSI	69.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	2368
1363	PT Oil	UNIT PELAKSANA	820	WILAYAH KERJA	Cepu	BN-3	-	Petroleum Geology and Exploration Methods	PT Fake	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	LAPORAN AKHIR	DATA & RIWAYAT SUMUR	31.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	4147
1364	PT Example	BADAN USAHA	1529	WILAYAH KERJA	Cepu	BN-7	-	Enhanced Oil Recovery (EOR) Techniques	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	PENGEBORAN	TRAJECTORY SURVEY	84.00000	-	-	RACK	-	TERVERIFIKASI	7427
1365	PT Gas	UNIVERSITAS	3942	WILAYAH KERJA	Sampang	BN-8	-	Fluid Flow Analysis in Petroleum Systems	PT Example	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	ASPEK KEGEOLOGIAN	ROUTINE CORE ANALYSIS	56.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	7136
1366	PT Oil	BADAN USAHA	1384	WILAYAH KERJA	Mahakam	BN-1	-	Reservoir Management and Field Development Plans	Example Co.	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	PENGUJIAN SUMUR	ANALISA FLUIDA	34.00000	-	-	SHELF	-	TERVERIFIKASI	5100
1367	PT Fake	BENTUK USAHA TETAP	440	WILAYAH KERJA	Sampang	BN-1	-	Reservoir Simulation and Forecasting	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	ASPEK KEGEOLOGIAN	LAPORAN/INTERPRETASI GEOLOGI	45.00000	-	-	RACK	-	TERVERIFIKASI	7842
1368	PT Fake	BENTUK USAHA TETAP	1585	WILAYAH KERJA	Sampang	BN-4	-	Reservoir Simulation and Forecasting	PT Fake	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	PENGEBORAN	FORMATION INTEGRITY TEST (FIT)	91.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	2110
1369	PT Gas	UNIT PELAKSANA	4137	WILAYAH KERJA	Duri	BN-7	-	Reservoir Management and Field Development Plans	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	PERSIAPAN PEMBORAN	PLAN OF DEVELOPMENT/POD	61.00000	-	-	RACK	-	TERVERIFIKASI	5864
1370	PT Gas	BADAN USAHA	4725	WILAYAH KERJA	Attaka	BN-3	-	Formation Evaluation and Petrophysical Analysis	PT Fake	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	ASPEK KEGEOLOGIAN	PETROGRAFI	40.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	4849
1371	PT Gas	UNIVERSITAS	4561	WILAYAH KERJA	Sampang	BN-2	-	Reservoir Simulation and Forecasting	PT Example	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	ANALISA FORMASI	MASTER LOG	32.00000	-	-	ENVELOPE	-	TERVERIFIKASI	2026
1372	Example Co.	BENTUK USAHA TETAP	4704	WILAYAH KERJA	Mahakam	BN-7	-	Drilling and Completion Practices in Oil and Gas Wells	PT Example	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	HSSE	HEALTH, SAFETY, ENVIRONMENT	56.00000	-	-	RACK	-	TERVERIFIKASI	8669
1373	PT Oil	UNIVERSITAS	4805	WILAYAH KERJA	Tuban	BN-2	-	Enhanced Oil Recovery (EOR) Techniques	PT Example	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	EKSPLORASI & AKUISISI	DATA EKSPLORASI	86.00000	-	-	SHELF	-	TERVERIFIKASI	7765
1374	PT Fake	BADAN USAHA	1242	WILAYAH KERJA	Attaka	BN-4	-	Reservoir Simulation and Forecasting	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	ASPEK KEGEOLOGIAN	CORE PHOTOGRAPHY	42.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	6747
1375	PT Example	UNIT PELAKSANA	2605	WILAYAH KERJA	Tuban	BN-2	-	Reservoir Management and Field Development Plans	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	PENGEBORAN	CEMENTING	36.00000	-	-	RACK	-	TERVERIFIKASI	6332
1376	PT Example	BADAN USAHA	4269	WILAYAH KERJA	Sampang	BN-5	-	Drilling and Completion Practices in Oil and Gas Wells	PT Oil	2024-03-08 00:00:00	TRANSLUCENT	KEUANGAN	LAPORAN AKHIR	LAPORAN AKHIR SUMUR	45.00000	-	-	BOX	-	TERVERIFIKASI	8484
1377	PT Gas	BENTUK USAHA TETAP	2288	WILAYAH KERJA	Attaka	BN-7	-	Production Optimization Strategies	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	ASPEK KEGEOLOGIAN	PALEONTOLOGI	85.00000	-	-	SHELF	-	TERVERIFIKASI	6146
1378	PT Example	BENTUK USAHA TETAP	756	WILAYAH KERJA	Tuban	BN-7	-	Reservoir Simulation and Forecasting	PT Example	2024-03-08 00:00:00	KERTAS	KEUANGAN	PENGEBORAN	COMPLETION	76.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	9557
1379	PT Example	BENTUK USAHA TETAP	1705	WILAYAH KERJA	Arun	BN-7	-	Formation Evaluation and Petrophysical Analysis	PT Gas	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	ASPEK KEGEOLOGIAN	PETROGRAFI	90.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	8162
1380	Example Co.	UNIVERSITAS	1916	WILAYAH KERJA	Cepu	BN-6	-	Drilling and Completion Practices in Oil and Gas Wells	PT Gas	2024-03-08 00:00:00	TRANSLUCENT	KEUANGAN	PERSIAPAN PEMBORAN	PERSIAPAN PONDASI LOKASI SUMUR	84.00000	-	-	RACK	-	TERVERIFIKASI	8945
1381	PT Gas	BADAN USAHA	4234	WILAYAH KERJA	Tuban	BN-2	-	Well Testing and Analysis	Example Co.	2024-03-08 00:00:00	KERTAS	KEUANGAN	PERSIAPAN PEMBORAN	PEMBEBASAN LAHAN	35.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	3672
1382	Example Co.	UNIVERSITAS	1430	WILAYAH KERJA	Mahakam	BN-8	-	Reservoir Characterization and Modeling	Example Co.	2024-03-08 00:00:00	FILM	KEUANGAN	EKSPLORASI & AKUISISI	TIME TO DEPTH RELATION REPORT/VSP	88.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	6402
1383	PT Example	BENTUK USAHA TETAP	1911	WILAYAH KERJA	Cepu	BN-1	-	Reservoir Management and Field Development Plans	PT Gas	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	LAPORAN AKHIR	DATA & RIWAYAT SUMUR	45.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	4477
1384	PT Oil	BENTUK USAHA TETAP	3879	WILAYAH KERJA	Rokan	BN-1	-	Petroleum Geology and Exploration Methods	PT Fake	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	LAPORAN LAINYA	LAPORAN LAINYA	39.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	3631
1385	Example Co.	BADAN USAHA	4875	WILAYAH KERJA	Jambi-Merang	BN-5	-	Enhanced Oil Recovery (EOR) Techniques	PT Gas	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN TEKNIK	LAPORAN AKHIR	DATA & RIWAYAT SUMUR	38.00000	-	-	RACK	-	TERVERIFIKASI	3137
1386	PT Fake	UNIVERSITAS	1843	WILAYAH KERJA	Arun	BN-2	-	Fluid Flow Analysis in Petroleum Systems	PT Fake	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN TEKNIK	ANALISA FORMASI	ANALISA PETROFISIKA	69.00000	-	-	SHELF	-	TERVERIFIKASI	6810
1387	Example Co.	BADAN USAHA	2772	WILAYAH KERJA	Rokan	BN-4	-	Petroleum Geology and Exploration Methods	PT Fake	2024-03-08 00:00:00	FILM	KEUANGAN	LAPORAN AKHIR	LAPORAN AKHIR SUMUR	51.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	2143
1388	PT Fake	BADAN USAHA	4254	WILAYAH KERJA	Mahakam	BN-8	-	Well Testing and Analysis	PT Example	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	PENGEBORAN	FORMATION INTEGRITY TEST (FIT)	86.00000	-	-	SHELF	-	TERVERIFIKASI	9094
1389	PT Gas	BADAN USAHA	1019	WILAYAH KERJA	Jambi-Merang	BN-6	-	Fluid Flow Analysis in Petroleum Systems	PT Gas	2024-03-08 00:00:00	FILM	KEUANGAN	PENGUJIAN SUMUR	LAPORAN/ANALISA TEKANAN	89.00000	-	-	ENVELOPE	-	TERVERIFIKASI	7584
1390	Example Co.	BADAN USAHA	421	WILAYAH KERJA	Tuban	BN-3	-	Drilling and Completion Practices in Oil and Gas Wells	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	PERSIAPAN PEMBORAN	KONTRAK JASA & PERALATAN PENUNJANG	98.00000	-	-	SHELF	-	TERVERIFIKASI	3288
1391	PT Oil	UNIT PELAKSANA	290	WILAYAH KERJA	Duri	BN-1	-	Drilling and Completion Practices in Oil and Gas Wells	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	LAPORAN AKHIR	DATA & RIWAYAT SUMUR	83.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	4810
1392	Example Co.	BENTUK USAHA TETAP	3484	WILAYAH KERJA	Arun	BN-5	-	Reservoir Management and Field Development Plans	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN SUMUR	EKSPLORASI & AKUISISI	DATA EKSPLORASI	57.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	9043
1393	Example Co.	UNIVERSITAS	2853	WILAYAH KERJA	Mahakam	BN-4	-	Reservoir Characterization and Modeling	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	LAPORAN AKHIR	ABANDONED AND PLUG	52.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	9134
1394	PT Oil	BADAN USAHA	1258	WILAYAH KERJA	Cepu	BN-1	-	Well Testing and Analysis	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	KERJA ULANG	WORK OVER & WELL SERVICE	36.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	6600
1395	PT Oil	BADAN USAHA	2539	WILAYAH KERJA	Arun	BN-3	-	Well Testing and Analysis	PT Fake	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	HSSE	OPERATIONAL INCIDENT REPORT	41.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	3027
1396	PT Gas	UNIT PELAKSANA	3160	WILAYAH KERJA	Tuban	BN-2	-	Reservoir Characterization and Modeling	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	PERSIAPAN PEMBORAN	PEMBEBASAN LAHAN	85.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	3582
1397	PT Oil	BENTUK USAHA TETAP	1679	WILAYAH KERJA	Arun	BN-1	-	Well Testing and Analysis	PT Example	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	LAPORAN AKHIR	ABANDONED AND PLUG	37.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	9287
1398	Example Co.	UNIT PELAKSANA	4032	WILAYAH KERJA	Sampang	BN-1	-	Drilling and Completion Practices in Oil and Gas Wells	PT Fake	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	LAPORAN LAINYA	LAPORAN LAINYA	61.00000	-	-	RACK	-	TERVERIFIKASI	6782
1399	Example Co.	UNIT PELAKSANA	973	WILAYAH KERJA	Arun	BN-4	-	Enhanced Oil Recovery (EOR) Techniques	PT Gas	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	PENGUJIAN SUMUR	LAPORAN/ANALISA TEKANAN	100.00000	-	-	BOX	-	TERVERIFIKASI	7523
1400	Example Co.	UNIT PELAKSANA	1060	WILAYAH KERJA	Attaka	BN-2	-	Production Optimization Strategies	Example Co.	2024-03-08 00:00:00	TRANSLUCENT	KEUANGAN	KERJA ULANG	WORK OVER & WELL SERVICE	31.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	1624
1401	PT Oil	UNIVERSITAS	4536	WILAYAH KERJA	Cepu	BN-5	-	Drilling and Completion Practices in Oil and Gas Wells	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	HSSE	OPERATIONAL INCIDENT REPORT	26.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	7547
1402	Example Co.	BADAN USAHA	2351	WILAYAH KERJA	Sampang	BN-4	-	Well Testing and Analysis	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	HSSE	HEALTH, SAFETY, ENVIRONMENT	32.00000	-	-	RACK	-	TERVERIFIKASI	3282
1403	PT Fake	UNIVERSITAS	204	WILAYAH KERJA	Duri	BN-3	-	Petroleum Geology and Exploration Methods	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	PRODUKSI	LAPORAN PRODUKSI	76.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	2875
1404	PT Fake	UNIVERSITAS	1016	WILAYAH KERJA	Arun	BN-5	-	Fluid Flow Analysis in Petroleum Systems	PT Gas	2024-03-08 00:00:00	FILM	KEUANGAN	KERJA ULANG	WORK OVER & WELL SERVICE	38.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	6429
1405	PT Gas	BADAN USAHA	2096	WILAYAH KERJA	Rokan	BN-4	-	Production Optimization Strategies	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	PRODUKSI	INJEKSI	93.00000	-	-	BOX	-	TERVERIFIKASI	2359
1406	Example Co.	UNIT PELAKSANA	3675	WILAYAH KERJA	Rokan	BN-4	-	Petroleum Geology and Exploration Methods	PT Oil	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SEISMIK	KERJA ULANG	WORK OVER & WELL SERVICE	66.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	7525
1407	PT Example	UNIT PELAKSANA	1232	WILAYAH KERJA	Sampang	BN-1	-	Fluid Flow Analysis in Petroleum Systems	PT Oil	2024-03-08 00:00:00	TRANSLUCENT	KEUANGAN	HSSE	HEALTH, SAFETY, ENVIRONMENT	80.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	3273
1408	PT Fake	UNIVERSITAS	139	WILAYAH KERJA	Attaka	BN-2	-	Drilling and Completion Practices in Oil and Gas Wells	Example Co.	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN TEKNIK	PENGUJIAN SUMUR	LAPORAN/ANALISA PERCONTOH	39.00000	-	-	RACK	-	TERVERIFIKASI	1313
1409	PT Oil	UNIVERSITAS	2038	WILAYAH KERJA	Cepu	BN-8	-	Reservoir Management and Field Development Plans	Example Co.	2024-03-08 00:00:00	KERTAS	KEUANGAN	PERSIAPAN PEMBORAN	PLAN OF DEVELOPMENT/POD	51.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	4363
1410	PT Fake	BENTUK USAHA TETAP	4765	WILAYAH KERJA	Minas	BN-5	-	Enhanced Oil Recovery (EOR) Techniques	PT Oil	2024-03-08 00:00:00	FILM	KEUANGAN	LAPORAN LAINYA	LAPORAN LAINYA	55.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	5350
1411	PT Example	UNIVERSITAS	777	WILAYAH KERJA	Mahakam	BN-1	-	Enhanced Oil Recovery (EOR) Techniques	PT Gas	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SEISMIK	ASPEK KEGEOLOGIAN	ANALISA GEOKIMIA	27.00000	-	-	RACK	-	TERVERIFIKASI	8735
1412	PT Oil	UNIVERSITAS	4464	WILAYAH KERJA	Sampang	BN-1	-	Formation Evaluation and Petrophysical Analysis	PT Example	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN TEKNIK	PENGUJIAN SUMUR	LAPORAN/ANALISA PERCONTOH	78.00000	-	-	RACK	-	TERVERIFIKASI	7899
1413	PT Oil	BADAN USAHA	1798	WILAYAH KERJA	Attaka	BN-8	-	Reservoir Simulation and Forecasting	PT Example	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	KERJA ULANG	WORK OVER & WELL SERVICE	45.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	7693
1414	PT Example	BADAN USAHA	1317	WILAYAH KERJA	Sampang	BN-2	-	Well Testing and Analysis	PT Fake	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	PENGUJIAN SUMUR	LAPORAN/ANALISA TEKANAN	74.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	2423
1415	Example Co.	BENTUK USAHA TETAP	3533	WILAYAH KERJA	Tuban	BN-2	-	Formation Evaluation and Petrophysical Analysis	PT Example	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	ASPEK KEGEOLOGIAN	LAPORAN/INTERPRETASI GEOLOGI	26.00000	-	-	RACK	-	TERVERIFIKASI	1027
1416	Example Co.	UNIT PELAKSANA	950	WILAYAH KERJA	Cepu	BN-5	-	Drilling and Completion Practices in Oil and Gas Wells	PT Gas	2024-03-08 00:00:00	FILM	KEUANGAN	PENGUJIAN SUMUR	ANALISA PVT	81.00000	-	-	ENVELOPE	-	TERVERIFIKASI	5951
1417	PT Fake	UNIVERSITAS	1521	WILAYAH KERJA	Jambi-Merang	BN-2	-	Production Optimization Strategies	PT Gas	2024-03-08 00:00:00	FILM	KEUANGAN	ASPEK KEGEOLOGIAN	CORE PHOTOGRAPHY	54.00000	-	-	BOX	-	TERVERIFIKASI	6991
1418	PT Example	UNIT PELAKSANA	2948	WILAYAH KERJA	Mahakam	BN-7	-	Petroleum Geology and Exploration Methods	PT Gas	2024-03-08 00:00:00	KERTAS	LAPORAN SUMUR	HSSE	HEALTH, SAFETY, ENVIRONMENT	45.00000	-	-	RACK	-	TERVERIFIKASI	4835
1419	Example Co.	UNIVERSITAS	3909	WILAYAH KERJA	Rokan	BN-8	-	Formation Evaluation and Petrophysical Analysis	PT Gas	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SEISMIK	ANALISA FORMASI	ANALISA PETROFISIKA	35.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	6443
1420	Example Co.	UNIVERSITAS	512	WILAYAH KERJA	Arun	BN-3	-	Drilling and Completion Practices in Oil and Gas Wells	PT Fake	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	LAPORAN LAINYA	LAPORAN LAINYA	97.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	7139
1421	PT Example	UNIVERSITAS	2354	WILAYAH KERJA	Attaka	BN-1	-	Drilling and Completion Practices in Oil and Gas Wells	PT Oil	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	LAPORAN LAINYA	LAPORAN LAINYA	78.00000	-	-	ENVELOPE	-	TERVERIFIKASI	6522
1422	PT Gas	UNIT PELAKSANA	2981	WILAYAH KERJA	Mahakam	BN-4	-	Enhanced Oil Recovery (EOR) Techniques	PT Example	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	PENGEBORAN	DAILY GEOLOGICAL REPORT	57.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	3256
1423	PT Example	BADAN USAHA	2286	WILAYAH KERJA	Jambi-Merang	BN-4	-	Petroleum Geology and Exploration Methods	Example Co.	2024-03-08 00:00:00	KERTAS	LAPORAN SEISMIK	PRODUKSI	FASILITAS PRODUKSI	78.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	2642
1424	Example Co.	UNIVERSITAS	1740	WILAYAH KERJA	Mahakam	BN-4	-	Reservoir Simulation and Forecasting	Example Co.	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	LAPORAN AKHIR	ABANDONED AND PLUG	80.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	SHELF	-	TERVERIFIKASI	4942
1425	PT Fake	UNIT PELAKSANA	3093	WILAYAH KERJA	Arun	BN-6	-	Reservoir Characterization and Modeling	PT Gas	2024-03-08 00:00:00	TRANSLUCENT	KEUANGAN	LAPORAN AKHIR	LAPORAN AKHIR SUMUR	77.00000	-	-	RACK	-	TERVERIFIKASI	9243
1426	PT Fake	BENTUK USAHA TETAP	2640	WILAYAH KERJA	Minas	BN-2	-	Enhanced Oil Recovery (EOR) Techniques	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	HSSE	HEALTH, SAFETY, ENVIRONMENT	86.00000	-	-	BOX	-	TERVERIFIKASI	3314
1427	PT Gas	UNIVERSITAS	3267	WILAYAH KERJA	Tuban	BN-7	-	Petroleum Geology and Exploration Methods	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	KERJA ULANG	WORK OVER & WELL SERVICE	100.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	6288
